Group,Group Name,Name,Date,Time,Latitude,Longitude,Altitude,Alarm
V,POTA-SK,2 Nizke Tatry National Park,09/04/2025,00:00:00,48.94,19.515,,OFF
V,POTA-SK,3 Slovensky raj National Park,09/04/2025,00:00:00,48.9,20.349,,OFF
V,POTA-SK,6 Velka Fatra National Park,09/04/2025,00:00:00,48.938,19.083,,OFF
V,POTA-SK,7 Muranska planina National Park,09/04/2025,00:00:00,48.78,19.897,,OFF
V,POTA-SK,17 Cerova vrchovina - Protected Landscape Area,09/04/2025,00:00:00,48.21,19.975,,OFF
V,POTA-SK,22 Polana - Protected Landscape Area,09/04/2025,00:00:00,48.648,19.485,,OFF
V,POTA-SK,25 Stiavnicke Vrchy - Protected Landscape Area,09/04/2025,00:00:00,48.408,18.865,,OFF
V,POTA-SK,195 Park Kupele Brusno - National Monument,09/04/2025,00:00:00,48.7834,19.3949,,OFF
V,POTA-SK,196 Park Kastiel Hronsek - National Monument,09/04/2025,00:00:00,48.65,19.1569,,OFF
V,POTA-SK,197 Mestsky park Brezno - National Monument,09/04/2025,00:00:00,48.8069,19.6438,,OFF
V,POTA-SK,198 Park Kastiel Hontianske Moravce - National ...,09/04/2025,00:00:00,48.1859,18.8527,,OFF
V,POTA-SK,199 Mestsky park Krupina - National Monument,09/04/2025,00:00:00,48.3528,19.0648,,OFF
V,POTA-SK,200 Halicsky park - National Monument,09/04/2025,00:00:00,48.3568,19.5755,,OFF
V,POTA-SK,201 Park Kastiel Podrecany - National Monument,09/04/2025,00:00:00,48.4024,19.5987,,OFF
V,POTA-SK,202 Park Kastiel Vidina - National Monument,09/04/2025,00:00:00,48.3586,19.6516,,OFF
V,POTA-SK,203 Park Kastiel Hucin - National Monument,09/04/2025,00:00:00,48.5626,20.301,,OFF
V,POTA-SK,204 Park Kastiel Gemer - National Monument,09/04/2025,00:00:00,48.4508,20.3169,,OFF
V,POTA-SK,205 Park Kastiel Ciz National Monument,09/04/2025,00:00:00,48.3151,20.2811,,OFF
V,POTA-SK,206 Park Kastiel Hrachovo National Monument,09/04/2025,00:00:00,48.4668,19.9506,,OFF
V,POTA-SK,207 Park Kastiel Kral - National Monument,09/04/2025,00:00:00,48.3281,20.3428,,OFF
V,POTA-SK,208 Park Kastiel Valice - National Monument,09/04/2025,00:00:00,48.448,20.1991,,OFF
V,POTA-SK,209 Park Kastiel Ozdany - National Monument,09/04/2025,00:00:00,48.3801,19.8972,,OFF
V,POTA-SK,211 Park Kastiel Velky Blh - National Monument,09/04/2025,00:00:00,48.451,20.1136,,OFF
V,POTA-SK,212 Park Kastiel Zip - National Monument,09/04/2025,00:00:00,48.3622,20.205,,OFF
